|hotel_name|hotel_loc|hotel_desc|hotel_url
20|Ola Living Music|Sant Pere Mes Alt, 21, Ciutat Vella, 08003 Barcelona, Spain|"You're eligible for a Genius discount at Ola Living Music! To save at this property, all you have to do is sign in.
Next to the modernistic Palau de la Música Catalana, Ola Living Music offers air-conditioned apartments with free safe and free Wi-Fi. Apartments are 10 minutes’ walk from Plaza Catalunya and Ramblas.
Featuring vaulted ceiling and traditional Catalan tiles, these apartments come with modern and functional furniture. They all have a fully equipped kitchenette including a microwave, and a washing machine, clothes dryer and iron facilities are also provided.
You can find some of the trendiest bars around beautiful Sant Pere Square and have fresh produce at Santa Caterina Market, just 350 m away. There is also a plenty of shops and supermarkets open till late in the surrounding area.
Located in the Borne District of Barcelona, Ola Living Music is 5 minutes’ walk from Barcelona Cathedral. The closest metro station is Urquinaona, just 300 m away."|https://www.booking.com/hotel/es/ola-living-music.en-gb.html
21|HB Hostel|47 Carrer de Sepúlveda Hostel, Eixample, 08015 Barcelona, Spain|"You're eligible for a Genius discount at HB Hostel! To save at this property, all you have to do is sign in.
HB Hostel features air-conditioned rooms with TV in the Eixample district of Barcelona. Located around 3 km from Sant Sebastian Beach, the guest house with free WiFi is also 3 km away from Sant Miquel Beach. The accommodation offers a shared kitchen and a shared lounge for guests.
All guest rooms feature bed linen.
Popular points of interest near the guest house include Magic Fountain of Montjuic, Montjuïc and Passeig de Gracia. The nearest airport is Barcelona El Prat Airport, 13 km from HB Hostel."|https://www.booking.com/hotel/es/hb-hostel.en-gb.html
22|Incredible 2BR Penthouse with Urban Rooftop Garden|102 Carrer del Comte Borrell 5-1, Eixample, 08015 Barcelona, Spain|"Set in Barcelona, within 2.7 km of Sant Sebastian Beach and 2.7 km of Sant Miquel Beach, Incredible 2BR Penthouse with Urban Rooftop Garden offers accommodation with free WiFi, air conditioning and a garden. The property has city and mountain views, and is 2.8 km from Barceloneta Beach.
The apartment is fitted with 2 bedrooms, 3 bathrooms, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with garden views.
A car rental service is available at the apartment.
Popular points of interest near Incredible 2BR Penthouse with Urban include Boqueria Market, Magic Fountain of Montjuic and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 11 km from the accommodation."|https://www.booking.com/hotel/es/exclusive-3-floor-penthouse-with-urban-roof-garden.en-gb.html
23|Ferran Pedralbes Penthouse|Carrer del Doctor Ferran, 26-28, Les Corts, 08034 Barcelona, Spain|"You're eligible for a Genius discount at Ferran Pedralbes Penthouse! To save at this property, all you have to do is sign in.
Located in Barcelona, 3.7 km from Magic Fountain of Montjuic and 4 km from La Pedrera, Ferran Pedralbes Penthouse offers air conditioning. It is set 1.9 km from Camp Nou and offers free WiFi plus a 24-hour front desk.
The apartment is fitted with 3 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with city views. For added convenience, the property can provide towels and bed linen for an extra charge.
Casa Batllo is 4.2 km from the apartment, while Passeig de Gracia is 5 km from the property. The nearest airport is Barcelona El Prat, 14 km from Ferran Pedralbes Penthouse, and the property offers a paid airport shuttle service."|https://www.booking.com/hotel/es/ferran-pedralbes-penthouse.en-gb.html
24|The Conica Deluxe Bed&Breakfast|Corsega, 271 Principal A, Eixample, 08008 Barcelona, Spain|"Set in the Eixample district in Barcelona, 500 m from La Pedrera, The Conica Deluxe Bed&Breakfast features air-conditioned rooms with free WiFi throughout the property.
Flat-screen satellite TV, as well as an iPod docking station are offered. Some rooms have a seating area where you can relax, while others include views of the garden or city. All rooms come with a private bathroom with free toiletries and a hairdryer.
You will find concierge service at the property.
Plaça Catalunya is 1.4 km from The Conica Deluxe Bed&Breakfast, while Sagrada Familia is 1.7 km away. The nearest airport is El Prat Airport, 13 km from the property."|https://www.booking.com/hotel/es/the-conica-deluxe-bed-amp-breakfast.en-gb.html
25|SM Hotel Teatre Auditori|Ribes, 71, Eixample, 08013 Barcelona, Spain|"You're eligible for a Genius discount at SM Hotel Teatre Auditori! To save at this property, all you have to do is sign in.
SM Hotel Teatre Auditori is located opposite the Catalan National Theatre, close to Glòries and Monumental Metro Stations. This stylish hotel features rooms with satellite TV.
The Auditori has bright, attractive décor. Each air-conditioned room has a desk and a safety deposit box.
Breakfast is served in the hotel café.
Staff at the 24-hour reception can provide information on Barcelona’s attractions, as well as arrange bicycle and car rental.
Gaudí’s Sagrada Familia is just 15 minutes’ walk from the hotel, while Glòries Metro is just 4 stops from Plaza de Catalunya and Las Ramblas."|https://www.booking.com/hotel/es/teatre-auditori.en-gb.html
26|Ilunion Auditori|Sicilia, 166-170, Eixample, 08013 Barcelona, Spain|"You're eligible for a Genius discount at Ilunion Auditori! To save at this property, all you have to do is sign in.
Situated 10 minutes' walk from the Arc de Triomf Metro and Train Station, the Ilunion Auditori features a rooftop swimming pool 3 m wide by 5 m long and gym. Free WiFi is available throughout.
All modern rooms at the Auditori have wooden floors, air conditioning, a flat-screen TV with satellite channels, and a safe. The private bathrooms include a hairdryer and free toiletries.
This hotel is officially adapted for guests with reduced mobility, accessible rooms are available on request, also for people with auditory and visual impairment.
The Ilunion Auditori serves a daily breakfast and offers à- la-carte dishes made with seasonal products. There is also a special menu for celiac and food intolerant guests. Room service is available during limited hours, and a snack bar is open during the evening. A range of restaurants and bars can be found in the nearby areas of the Eixample, Born and Gothic Quarter.
Guests can enjoy a work out at the gym, which is equipped with cardiovascular equipment. The seasonal rooftop pool, which is surrounded by sun loungers, offers the ideal place for relaxation with stunning views over the city.
Free internet access is available at the computers in the reception area. The famous Barcelona Auditorium is a 5-minute walk away, while the the Sagrada Familia and the Ciutadella Park are 1.5 km away. Underground private parking is available on site for an additional charge.
This hotel is officially adapted for guests with reduced mobility."|https://www.booking.com/hotel/es/confortel-auditori.en-gb.html
27|Chic & Basic Lemon Boutique Hotel|Pelai, 6, Ciutat Vella, 08001 Barcelona, Spain|"Set between the 2 main squares at the centre of Barcelona – Catalunya and Universitat – this small, modern hotel is ideally located for exploring the city’s cultural heart.
Chic & Basic Lemon is just off the top of the vibrant La Rambla and a short walk from the Gothic Quarter. It is only 100 m from Plaça Catalunya and the start of the elegant boulevard of Passeig de Gràcia – site of Modernist marvels such as Casa Batlló.
Here you can take advantage of the great family service offered in this small property.
After seeing the sights, spend a restful night’s sleep in your own spacious bedroom. In it you will find amenities such as a digital TV, free safe and en suite bathroom with full bathtub. In addition, climate control allows you to stay in comfort all year round."|https://www.booking.com/hotel/es/marvi.en-gb.html
28|Enjoybcn Patio de Gracia|Via Augusta, 58 - 60, Gràcia, 08006 Barcelona, Spain|"You're eligible for a Genius discount at Enjoybcn Patio de Gracia! To save at this property, all you have to do is sign in.
Offering free Wi-Fi and a shared outdoor pool, these modern apartments are located between Gracia and Sant Gervasi Districts. Diagonal and Passeig de Gracia avenues are 10 minutes’ walk away.
Enjoybcn Patio de Gracia Apartments features 1 or 2-bedroom apartments as well as duplex apartments.
Each air-conditioned apartment offers modern-style furniture and has a living-dining area with sofa and flat-screen TV, a fully equipped kitchen and a private bathroom with a hairdryer.
Numerous bars and restaurants serving national and international food can be found nearby. Gracia District is also known for its small shops and trendy cafés.
Fontana metro station is less than 5 minutes’ walk of the apartments and Gracia train station is 80 m away."|https://www.booking.com/hotel/es/city-stays-diagonal-magnolia-apartments.en-gb.html
29|Hotel Ginebra|Rambla de Catalunya 1, Eixample, 08007 Barcelona, Spain|"You're eligible for a Genius discount at Hotel Ginebra! To save at this property, all you have to do is sign in.
Offering free WiFi and air conditioning, Hotel Ginebra is located in the heart of Barcelona, just off Plaza Catalunya. La Rambla and the luxury shops of Paseo de Gracia are 250 m from the hotel.
Modern rooms at Hotel Ginebra feature a flat-screen TV with satellite channels, coffee and tea making facilities, a free safety deposit box and a private bathroom with shower including a hairdryer and free toiletries.
Facilities include a shared TV lounge, luggage storage and laundry service. A wide range of restaurants can be found in Plaza Catalunya, just across the street.
The main train and metro station in Barcelona is 100 m from the hotel, and the airport shuttle bus provides a direct link from Plaza Catalunya to El Prat Airport. There is government parking available next to the hotel."|https://www.booking.com/hotel/es/ginebra.en-gb.html
30|Musik Boutique Hotel|Sant Pere Mes Baix, 62, Ciutat Vella, 08002 Barcelona, Spain|"This property is 18 minutes walk from the beach. This modern hotel is centrally located 5 minutes’ walk from Barcelona’s Urquinaona Metro Station and 400 m from the Palau de la Musica. It offers 24-hour reception and free Wi-Fi.
The air-conditioned rooms at Musik Boutique Hotel feature an iPod docking station, flat-screen satellite TV and a safe. They are sound-proofed and have a private bathroom with a hairdryer and free toiletries. Some rooms have a balcony.
Breakfast is available and you will find many shops, bars and restaurants within a short walk. The Ramblas is a 10-minute walk away and you can reach Barceloneta Beach in 10 minutes by bus or metro."|https://www.booking.com/hotel/es/musik-boutique.en-gb.html
31|Primero Primera|Doctor Carulla, 25, Sarrià-St. Gervasi, 08017 Barcelona, Spain|"You're eligible for a Genius discount at Primero Primera! To save at this property, all you have to do is sign in.
Offering stylish rooms with free, high-speed Wi-Fi and iPod docking stations, Primero Primera is located in the Sarrià district. 5 minutes’ walk from Les Tres Torres FGC Station, this boutique hotel is set in gardens.
Each air-conditioned room at the Primero Primera has contemporary décor. All rooms have tea and coffee making facilities, a flat-screen TV and minibar.
A buffet breakfast is served in the Primero’s dining room or on the charming terrace. The Sarrià district features a range of cafés, bars and restaurants.
Barcelona’s Gothic Quarter, Plaza de Catalunya and Las Ramblas can be reached in 15 minutes by train. FC Barcelona’s Camp Nou Stadium is 2.5 km away."|https://www.booking.com/hotel/es/primero-primera.en-gb.html
32|Hostel One Sants|Casteràs, 9, Sants-Montjuïc, 08028 Barcelona, Spain|"You're eligible for a Genius discount at Hostel One Sants! To save at this property, all you have to do is sign in.
This lively hostel is located 150 m from Badal Metro Station. It offers a free Wi-Fi zone, a chill-out terrace zone and free dinner. Sants Train and Metro Station are 10 minutes’ walk away.
The air-conditioned dormitories at Hostel One Sants feature bunk beds and free lockers. Bathrooms are shared, sheets are included and towels can be rented. Laundry facilities are available for a fee.
The communal kitchen is open 24-hours, has free tea and coffee and guests can make lunch and cocktails together. There is also a lounge where you can stay until late, playing pool or watching TV.
The property is 20 minutes’ walk from Barcelona’s Camp Nou Stadium, Montjuic and Plaza España.
One Sants offers free luggage storage until midnight and is 10 minutes’ walk from the airport bus stop to Barcelona El Prat Airport, 12 km away."|https://www.booking.com/hotel/es/hostel-one-sants.en-gb.html
33|El Palauet Barcelona|Passeig de Gràcia, 113, Gràcia, 08008 Barcelona, Spain|"You're eligible for a Genius discount at El Palauet Barcelona! To save at this property, all you have to do is sign in.
Located in a Modernist building, El Palauet Barcelona features a rooftop spa with spectacular city views. It offers elegant, modern suites with free Wi-Fi.
El Palauet Barcelona’s spacious suites include 2 bedrooms with private bathrooms, a spacious living room and a fully-equipped kitchen including a hob, microwave, small fridge and a dishwasher. Some include a balcony. All suites come with 2 bottles of water and a platter of apples, replenished every day, as well as a 380 ml bottle of Spanish wine and Wallpaper guide to Barcelona.
This luxury hotel delivers breakfast to the rooms. Main restaurants and bars can be found on Barcelona’s elegant Passeig de Gràcia Avenue, where it intersects with Diagonal Avenue.
El Palauet Barcelona offers a personal assistant service. A shuttle service is available at an additional cost and guests can rent cars at the hotel."|https://www.booking.com/hotel/es/el-palauet-living-barcelona.en-gb.html
34|Catalonia Roma|Avenida Roma, 31, Eixample, 08029 Barcelona, Spain|"You're eligible for a Genius discount at Catalonia Roma! To save at this property, all you have to do is sign in.
Catalonia Roma is 600 m from Sants AVE Train and Metro Station. It offers free Wi-Fi, and you can reach Barcelona city centre in 10 minutes by Metro or bus.
There are direct train links to Barcelona Airport from Sants Station and the Airport Bus also stops outside it.
The modern, air-conditioned rooms have wooden floors, a mini fridge with complimentary water and satellite TV. There is a safe and minibar, and a private bathroom with a hairdryer.
A buffet breakfast is served at the hotel restaurant. Room service is available and there is also a bar.
Plaza Espanya, Montjuic’s Magic Fountain and the Fira Conference Centre are all within 15 minutes’ walk of the hotel.
The 24-hour front desk at Catalonia Roma boasts a large stained-glass skylight. You can rent a car and currency exchange is offered."|https://www.booking.com/hotel/es/cataloniaroma.en-gb.html
